RLYCODE,DIVCODE,SECTION,LINE,FRACTURE_DATE,FRACTURE_TIME,RAIL_SECTION,ANNUAL_GMT,SPEED,LAYINGDATE,GMTCARRIED,ASSETTYPE,USFDCLASSIFICATION,USFDTESTDATE,LRRR,KM,METER,AXLELOAD,TRACK_TYPE,STRAIGHT_CURVE,SERVICE_LIFE,FRACTURE_DATE,LAYINGDATE,DURATION
NR,LKO,LKO AMG,DN,2015-01-29-00.00.00,8:15,52KG,27.58,110,Apr-18,4.78,RAIL,GR,2015-01-01-00.00.00,LR,1073,363,22.32,SWR,STRAIGHT,525,1/29/2015,4/1/2018,-1158.00
SWR,SBC,SBC-ASK,DN,2015-02-10-00.00.00,8:05,60KG,7.91,110,Aug-17,1.33,RAIL,GR,2014-11-26-00.00.00,RR,38,48,22.9,LWR,STRAIGHT,800,2/10/2015,8/1/2017,-903.00
SWR,SBC,SBC-ASK,DN,2015-02-02-00.00.00,8:00,60KG,7.91,110,Jul-17,1.99,RAIL,GR,2014-11-22-00.00.00,RR,24,0,22.9,LWR,STRAIGHT,800,2/2/2015,7/1/2017,-880.00
SWR,SBC,SBC-ASK,DN,2015-06-30-00.00.00,12:30,60KG,7.91,110,Aug-17,1.33,RAIL,GR,2014-11-22-00.00.00,RR,27,800,22.9,LWR,STRAIGHT,800,6/30/2015,8/1/2017,-763.00
ECOR,KUR,KUR-NWP,DN,2015-09-06-00.00.00,12:20,60KG,37.21,130,Sep-17,5.33,RAIL,GR,2015-08-17-00.00.00,RR,600,518,25,LWR,STRAIGHT,800,9/6/2015,9/1/2017,-726.00
SWR,SBC,SBC-ASK,DN,2015-05-14-00.00.00,8:30,60KG,7.91,110,Apr-17,3.98,RAIL,GR,2014-11-25-00.00.00,RR,34,190,22.9,LWR,STRAIGHT,800,5/14/2015,4/1/2017,-688.00
SWR,SBC,SBC-ASK,DN,2015-08-22-00.00.00,14:40,52KG,7.91,110,Jul-17,1.99,RAIL,GR,2014-11-21-00.00.00,RR,19,900,22.9,LWR,STRAIGHT,525,8/22/2015,7/1/2017,-679.00
SWR,SBC,SBC-ASK,DN,2015-08-28-00.00.00,15:00,60KG,7.91,110,Jul-17,1.99,RAIL,GR,2014-11-22-00.00.00,LR,23,800,22.9,LWR,STRAIGHT,800,8/28/2015,7/1/2017,-673.00
SWR,SBC,SBC-ASK,DN,2015-05-05-00.00.00,7:20,60KG,7.91,110,Mar-17,4.64,RAIL,GR,2014-11-25-00.00.00,LR,33,864,22.9,LWR,STRAIGHT,800,5/5/2015,3/1/2017,-666.00
ECOR,KUR,KUR-NWP,UP,2015-11-14-00.00.00,7:00,60KG,37.98,130,Sep-17,7.36,RAIL,GR,2015-07-21-00.00.00,RR,598,823,25,LWR,STRAIGHT,800,11/14/2015,9/1/2017,-657.00
SWR,SBC,SBC-ASK,UP,2015-05-03-00.00.00,7:45,60KG,8.75,110,Feb-17,5.76,RAIL,GR,2014-11-19-00.00.00,RR,12,200,22.9,LWR,STRAIGHT,800,5/3/2015,2/1/2017,-640.00
SWR,SBC,SBC-ASK,DN,2015-10-02-00.00.00,6:40,60KG,7.91,110,Jul-17,1.99,RAIL,GR,2014-11-22-00.00.00,RR,25,200,22.9,LWR,STRAIGHT,800,10/2/2015,7/1/2017,-638.00
SR,SA,ED - IGU,DN,2016-07-21-00.00.00,8:15,60KG,24.53,110,Apr-18,4.09,RAIL,GR,2016-07-01-00.00.00,LR,414,16,22.9,LWR,CURVE,800,7/21/2016,4/1/2018,-619.00
SWR,SBC,SBC-ASK,DN,2015-12-07-00.00.00,6:30,60KG,7.91,110,Aug-17,1.33,RAIL,GR,2015-11-23-00.00.00,RR,38,64,22.9,LWR,STRAIGHT,800,12/7/2015,8/1/2017,-603.00
