RLYCODE,DIVCODE,SECTION,LINE,FRACTURE_DATE,FRACTURE_TIME,RAIL_SECTION,ANNUAL_GMT,SPEED,LAYINGDATE,GMTCARRIED,ASSETTYPE,USFDCLASSIFICATION,KM,METER,LRRR,AXLELOAD,TRACK_TYPE,STRAIGHT_CURVE,TESTING_FREQ,USFDTESTDATE
CR,BSL,AK- MZR,DN,19/12/2017,3:38,60KG,39.51,130,1/1/1995,693.8,RAIL,GR,616,40,LR,22.32,LWR,STRAIGHT,3,2/11/2017
CR,BSL,AK- MZR,DN,24/12/2017,6:25,60KG,39.51,130,1/4/1995,690.19,RAIL,GR,602,68,RR,22.32,LWR,CURVE,3,30/10/2017
CR,BSL,AK- MZR,DN,10/2/2021,7:15,60KG,44,130,1/1/1994,825.04,SEJ,GR,593,334,LR,22.32,LWR,STRAIGHT,3,16/12/2020
CR,BSL,AK- MZR,DN,13/5/2017,8:05,60KG,39.51,130,1/1/1995,693.8,RAIL,GR,602,424,RR,22.32,SWR,STRAIGHT,3,29/4/2017
CR,BSL,AK- MZR,DN,1/2/2019,8:50,60KG,33.24,130,1/1/1995,727.81,SEJ,GR,608,442,LR,22.32,LWR,STRAIGHT,3,28/1/2019
CR,BSL,AK- MZR,DN,28/10/2019,0:50,60KG,33.24,130,1/12/1995,743.38,SEJ,GR,612,490,RR,22.32,LWR,STRAIGHT,3,2/8/2019
CR,BSL,AK- MZR,DN,7/12/2020,7:20,60KG,21.63,130,1/1/1995,803.43,SEJ,GR,613,536,LR,22.32,LWR,STRAIGHT,3,22/10/2020
CR,BSL,AK- MZR,DN,8/1/2019,4:36,60KG,33.24,130,1/1/1995,724.65,SEJ,GR,601,827,LR,22.32,LWR,CURVE,3,16/10/2018
CR,BSL,AK- MZR,DN,1/12/2017,15:40,60KG,39.51,130,1/1/2008,400.69,RAIL,GR,611,828,LR,22.32,LWR,CURVE,3,31/10/2017
CR,BSL,AK- MZR,UP,20/12/2019,1:55,60KG,53.08,130,1/1/2017,164.51,LWR,GR,610,424,LR,22.32,LWR,STRAIGHT,2,23/11/2019
CR,BSL,AK- MZR,UP,25/3/2022,12:50,60KG,48,130,1/8/2021,118.39,LWR,GR,602,670,LR,22.32,LWR,STRAIGHT,2,4/3/2022
CR,BSL,AK- MZR,UP,8/1/2025,4:05,60KG,56.893,130,1/10/2011,687,SEJ,GR,610,728,LR,22.32,LWR,STRAIGHT,2,20/12/2024
CR,BSL,AK- MZR,UP,11/12/2019,8:28,60KG,53.08,130,1/6/2011,472.86,SEJ,GR,613,730,LR,22.32,LWR,STRAIGHT,2,23/11/2019
CR,BSL,BD - PLO,DN,14/2/2022,0:24,60KG,53,130,1/1/1996,832.77,SEJ,GR,664,469,RR,22.9,LWR,STRAIGHT,3,13/12/2021
CR,BSL,BSL-JM,DN,11/11/2022,9:00,60KG,44,130,1/1/2007,592.1,SEJ,GR,502,21,LR,22.32,LWR,STRAIGHT,3,19/9/2022
CR,BSL,BSL-JM,DN,27/7/2019,22:15,60KG,33.24,130,1/2/2001,634.64,SEJ,GR,465,54,RR,22.32,LWR,CURVE,3,19/6/2019
CR,BSL,BSL-JM,DN,11/2/2020,0:50,60KG,21.63,130,1/2/2006,532.03,SEJ,GR,493,77,LR,22.32,LWR,STRAIGHT,3,3/1/2020
CR,BSL,BSL-JM,DN,18/4/2018,5:50,52KG,39.51,130,1/9/2007,425.05,RAIL,OBS Joggled Plate,445,80,RR,22.32,SWR,STRAIGHT,3,17/4/2018
