Rank,bootstrap,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_r2_mean,Best_Model
1,TRUE,50,sqrt,1,2,200,761.0946176,49.44789971,453.7348816,0.917060345,TRUE
2,TRUE,50,sqrt,1,2,300,763.1352243,46.46404347,454.5417029,0.916630194,FALSE
3,TRUE,50,sqrt,1,2,700,765.2790335,45.89678605,454.1522083,0.91617051,FALSE
4,TRUE,50,sqrt,1,2,500,766.9610559,46.73176434,456.0956297,0.915794036,FALSE
5,TRUE,50,sqrt,1,3,700,786.2914072,48.53037525,471.7100602,0.911490693,FALSE
6,TRUE,50,sqrt,1,3,500,789.2689663,48.91778326,474.3746936,0.910817824,FALSE
7,TRUE,50,sqrt,1,3,300,792.1757445,47.37309284,476.2362271,0.91017778,FALSE
8,TRUE,50,sqrt,1,3,200,792.6723092,54.15532522,477.8269144,0.910015771,FALSE
9,TRUE,50,sqrt,1,5,200,814.3857538,61.37315569,501.6014629,0.904914486,FALSE
10,TRUE,50,sqrt,1,5,300,821.426297,59.6573058,505.5011903,0.90326916,FALSE
11,TRUE,50,sqrt,1,5,500,825.5810162,53.15423844,508.4281181,0.90236527,FALSE
12,TRUE,50,sqrt,1,5,700,825.8968708,49.3831291,508.5939804,0.902336436,FALSE
13,TRUE,50,sqrt,1,7,700,855.7041736,46.01624615,535.3928363,0.895202681,FALSE
14,TRUE,50,sqrt,1,7,500,856.7100353,49.54142779,536.5639474,0.894909427,FALSE
15,TRUE,50,sqrt,1,7,300,858.304865,50.91962671,538.1267531,0.894493211,FALSE
16,TRUE,50,sqrt,1,7,200,860.8415223,50.18152301,540.1991234,0.893906074,FALSE
17,TRUE,50,sqrt,1,10,200,885.7009738,49.01726172,562.0174896,0.887716863,FALSE
18,TRUE,50,sqrt,1,10,300,888.7602734,48.4687825,563.5355021,0.886926322,FALSE
19,TRUE,50,sqrt,1,10,700,892.6854358,46.12836036,567.20035,0.885972068,FALSE
20,TRUE,50,sqrt,1,10,500,894.1751399,49.17253042,568.2908228,0.885549669,FALSE
21,TRUE,30,sqrt,1,2,200,898.3155653,41.20520926,578.4486813,0.884626675,FALSE
22,TRUE,30,sqrt,1,2,300,907.0966682,43.83088909,583.9644523,0.882300352,FALSE
23,TRUE,30,sqrt,1,2,700,914.2265387,43.20466571,587.1107947,0.880456012,FALSE
24,TRUE,30,sqrt,1,2,500,915.2610703,41.27507635,588.6861221,0.880176202,FALSE
25,TRUE,30,sqrt,1,3,200,931.3698695,58.23793903,602.0481888,0.875795567,FALSE
26,TRUE,30,sqrt,1,3,300,931.7220068,52.58021818,601.4529057,0.87574693,FALSE
27,TRUE,30,sqrt,1,3,700,932.0919194,43.36577568,600.9390944,0.875735761,FALSE
28,TRUE,30,sqrt,1,3,500,935.2399477,49.21898639,603.5010428,0.874839339,FALSE
29,TRUE,30,sqrt,1,5,200,957.5932029,70.03684729,625.0106552,0.868604082,FALSE
30,TRUE,30,sqrt,1,5,300,962.6331785,59.38373992,627.8032722,0.8673163,FALSE
31,TRUE,30,sqrt,1,5,700,969.2283141,48.45338707,632.8564689,0.865625134,FALSE
32,TRUE,30,sqrt,1,5,500,972.7338967,53.28240601,635.5519716,0.864583464,FALSE
33,TRUE,30,sqrt,1,7,300,981.5567154,44.46817065,642.7053459,0.862187433,FALSE
34,TRUE,30,sqrt,1,7,200,981.8148692,37.55138374,643.4987006,0.862197434,FALSE
